"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"#8 Test create test case","62731","#8 Test create test case","Global UI suite","Thu Jan 23 14:59:07 GMT 2025","passed","Thu Jan 23 15:00:09 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testCreateTestCase"
"#13 Test delete suite","34834","#13 Test delete suite","Global UI suite","Thu Jan 23 15:01:53 GMT 2025","passed","Thu Jan 23 15:02:28 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testDeleteSuite"
"#4 Test Login with invalid username and invalid password","13002","#4 Test Login with invalid username and invalid password","Global UI suite","Thu Jan 23 14:58:23 GMT 2025","passed","Thu Jan 23 14:58:36 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndInvalidPassword"
"#9 Test update test case","83240","#9 Test update test case","Global UI suite","Thu Jan 23 15:01:20 GMT 2025","passed","Thu Jan 23 15:02:43 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testUpdateTestCase"
"#6 Test update project","57030","#6 Test update project","Global UI suite","Thu Jan 23 14:59:49 GMT 2025","passed","Thu Jan 23 15:00:46 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testUpdateProject"
"#12 Test update suite","37524","#12 Test update suite","Global UI suite","Thu Jan 23 15:02:44 GMT 2025","passed","Thu Jan 23 15:03:22 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testUpdateSuite"
"#1 Test Login with a valid username and password","22395","#1 Test Login with a valid username and password","Global UI suite","Thu Jan 23 14:58:00 GMT 2025","passed","Thu Jan 23 14:58:22 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndPassword"
"#11 Test create suite","36548","#11 Test create suite","Global UI suite","Thu Jan 23 15:01:01 GMT 2025","passed","Thu Jan 23 15:01:38 GMT 2025","tests.SuitesPageTest","Parallel Test","tests.SuitesPageTest","testCreateSuite"
"#7 Test delete project","34349","#7 Test delete project","Global UI suite","Thu Jan 23 14:58:59 GMT 2025","passed","Thu Jan 23 14:59:33 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testDeleteProject"
"#3 Test Login with invalid username and valid password","13182","#3 Test Login with invalid username and valid password","Global UI suite","Thu Jan 23 14:58:37 GMT 2025","passed","Thu Jan 23 14:58:51 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithInvalidUsernameAndValidPassword"
"#10 Test delete test case","35494","#10 Test delete test case","Global UI suite","Thu Jan 23 15:00:25 GMT 2025","passed","Thu Jan 23 15:01:01 GMT 2025","tests.TestCasesPageTest","Parallel Test","tests.TestCasesPageTest","testDeleteTestCase"
"#5 Test create project","44788","#5 Test create project","Global UI suite","Thu Jan 23 14:57:58 GMT 2025","passed","Thu Jan 23 14:58:43 GMT 2025","tests.ProjectsPageTest","Parallel Test","tests.ProjectsPageTest","testCreateProject"
"#2 Test Login with a valid username and invalid password","16396","#2 Test Login with a valid username and invalid password","Global UI suite","Thu Jan 23 14:57:42 GMT 2025","passed","Thu Jan 23 14:57:58 GMT 2025","tests.LoginPageTest","Parallel Test","tests.LoginPageTest","testLoginWithAValidUsernameAndInvalidPassword"
